Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,107.49282836914062,110.8986587524414,106.95507049560547,110.8986587524414,61.7182502746582,10823694
2000-01-04,108.98661804199219,109.46463012695312,105.9990463256836,107.13432312011719,59.62327194213867,8606279
2000-01-05,107.97084045410156,114.48374938964844,107.19407653808594,110.8986587524414,61.7182502746582,13318927
2000-01-06,112.81070709228516,113.70697784423828,108.50860595703125,108.98661804199219,60.65414047241211,8338607
2000-01-07,112.09368896484375,112.7509536743164,105.76004028320312,108.50860595703125,60.388118743896484,12402108
2000-01-10,112.09368896484375,114.12523651123047,110.3011474609375,112.81070709228516,62.78237533569336,8933363
2000-01-11,112.69120788574219,115.79827880859375,111.49617767333984,113.76673126220703,63.3144416809082,8235472
2000-01-12,114.36424255371094,116.63479614257812,113.04971313476562,114.24474334716797,63.580440521240234,7116775
2000-01-13,114.66300201416016,115.67877960205078,110.65965270996094,113.04971313476562,62.915382385253906,8880226
2000-01-14,115.61902618408203,117.88957977294922,112.33269500732422,114.36424255371094,63.64695358276367,11460604
2000-01-18,114.42399597167969,114.48374938964844,109.94264221191406,110.65965270996094,61.5852165222168,7995519
2000-01-19,110.48040008544922,116.63479614257812,107.7318344116211,114.24474334716797,63.580440521240234,9031687
2000-01-20,117.5908203125,119.26386260986328,113.76673126220703,113.76673126220703,63.3144416809082,18601436
2000-01-21,116.51529693603516,117.5908203125,114.66300201416016,116.15679168701172,64.64457702636719,8230660
2000-01-24,116.51529693603516,117.47132110595703,111.4364242553711,116.15679168701172,64.64457702636719,6798163
2000-01-25,111.61567687988281,114.24474334716797,110.8986587524414,113.88623046875,63.38093185424805,7255997
2000-01-26,113.82648468017578,114.66300201416016,110.8986587524414,111.61567687988281,62.1172981262207,5120275
2000-01-27,112.81070709228516,113.22896575927734,106.716064453125,108.50860595703125,60.388118743896484,8707532
2000-01-28,107.79158782958984,109.1658706665039,105.22227478027344,106.65631103515625,59.357242584228516,6976192
2000-01-31,106.47705841064453,107.8513412475586,104.80401611328125,107.3135757446289,59.723045349121094,6488024
2000-02-01,107.43307495117188,108.4488525390625,104.32600402832031,105.16252136230469,58.525917053222656,7640716
2000-02-02,107.07456970214844,110.71940612792969,105.52103424072266,108.50860595703125,60.388118743896484,8062254
2000-02-03,109.94264221191406,112.33269500732422,109.0463638305664,111.97418975830078,62.316837310791016,6499635
2000-02-04,112.98995971679688,113.22896575927734,109.76338195800781,110.54015350341797,61.51875305175781,5653944
2000-02-07,110.8986587524414,111.73518371582031,108.15009307861328,109.10611724853516,60.72064971923828,6045357
2000-02-08,111.79492950439453,113.76673126220703,111.07791900634766,113.58747863769531,63.28120040893555,5715658
2000-02-09,113.76673126220703,114.48374938964844,111.85468292236328,112.21319580078125,62.515567779541016,5621936
2000-02-10,112.51194763183594,113.88623046875,111.73518371582031,113.88623046875,63.447628021240234,4651144
2000-02-11,113.82648468017578,114.18498992919922,109.52437591552734,110.3011474609375,61.45034408569336,6013872
2000-02-14,110.8986587524414,111.25717163085938,109.46463012695312,110.95841217041016,61.81651306152344,4753024
2000-02-15,110.77915954589844,112.27294158935547,108.86711120605469,111.97418975830078,62.382408142089844,5415665
2000-02-16,111.37667083740234,112.1534423828125,110.181640625,110.65965270996094,61.65007781982422,4149377
2000-02-17,111.37667083740234,113.64722442626953,110.65965270996094,111.61567687988281,62.18266677856445,5478425
2000-02-18,110.181640625,110.83891296386719,106.5965576171875,107.55258178710938,59.919063568115234,8026376
2000-02-22,107.07456970214844,108.4488525390625,103.96749877929688,106.11854553222656,59.12015151977539,8006921
2000-02-23,105.64053344726562,105.64053344726562,103.7284927368164,103.96749877929688,57.921791076660156,7777324
2000-02-24,104.0272445678711,106.11854553222656,103.42973327636719,105.64053344726562,58.853878021240234,9531152
2000-02-25,105.04302215576172,105.04302215576172,100.3226547241211,103.25048065185547,57.5223274230957,10786561
2000-02-28,100.0239028930664,101.81644439697266,99.36663818359375,99.9043960571289,55.65815734863281,8869975
2000-02-29,100.92017364501953,100.92017364501953,96.49856567382812,98.23136138916016,54.72608947753906,10967205
2000-03-01,97.51434326171875,100.86042022705078,95.66204833984375,95.84130096435547,53.39457321166992,11304959
2000-03-02,96.08030700683594,100.80066680908203,95.12428283691406,98.5898666381836,54.92580032348633,11707773
2000-03-03,102.53346252441406,105.16252136230469,101.39818572998047,103.25048065185547,57.5223274230957,10630289
2000-03-06,105.10277557373047,106.11854553222656,96.55831909179688,98.53011322021484,54.89251708984375,11241780
2000-03-07,101.33843231201172,102.2944564819336,97.21558380126953,98.4703598022461,54.859256744384766,10496715
2000-03-08,98.4703598022461,102.1749496459961,98.23136138916016,101.57743835449219,56.590248107910156,8761714
2000-03-09,101.81644439697266,103.25048065185547,99.54589080810547,103.25048065185547,57.5223274230957,6625469
2000-03-10,102.8919677734375,104.20649719238281,100.38240814208984,100.62141418457031,56.05763626098633,7419487
2000-03-13,99.42638397216797,104.20649719238281,97.99235534667969,102.95172119140625,57.355892181396484,8233066
2000-03-14,103.011474609375,105.16252136230469,102.65296173095703,103.84799194335938,57.85520553588867,8340490
2000-03-15,102.77246856689453,103.48948669433594,101.45793151855469,102.2944564819336,56.989688873291016,5926531
2000-03-16,104.20649719238281,104.98326873779297,103.13097381591797,104.20649719238281,58.05493927001953,6927135
2000-03-17,103.48948669433594,106.77581024169922,102.95172119140625,105.16252136230469,58.58754348754883,9264736
2000-03-20,105.16252136230469,108.38909912109375,105.10277557373047,107.79158782958984,60.0522346496582,6865421
2000-03-21,107.8513412475586,109.64388275146484,107.01481628417969,108.50860595703125,60.45168685913086,7083094
2000-03-22,109.46463012695312,110.3011474609375,108.86711120605469,109.22562408447266,60.85114288330078,6420139
2000-03-23,110.77915954589844,110.77915954589844,106.716064453125,110.181640625,61.3837776184082,6791050
2000-03-24,110.3011474609375,116.8738021850586,110.00238800048828,115.32026672363281,64.24657440185547,12683378
2000-03-27,119.50286865234375,122.60993957519531,119.14435577392578,121.29541015625,67.57540893554688,12408593
2000-03-28,120.21988677978516,121.4149169921875,116.69454956054688,117.11280822753906,65.24520111083984,8524482
2000-03-29,116.93355560302734,117.05306243896484,113.2887191772461,113.76673126220703,63.38107681274414,7648666
2000-03-30,113.64722442626953,117.5908203125,113.46797180175781,117.35181427001953,65.37834167480469,9579268
2000-03-31,117.23231506347656,118.3078384399414,111.91443634033203,113.1692123413086,63.048160552978516,8383899
2000-04-03,114.7227554321289,116.9933090209961,114.18498992919922,116.63479614257812,64.97889709472656,8070518
2000-04-04,116.15679168701172,121.35516357421875,110.00238800048828,115.8580322265625,64.5461196899414,17433891
2000-04-05,115.20076751708984,120.21988677978516,114.48374938964844,119.50286865234375,66.57675170898438,9093401
2000-04-06,118.06883239746094,122.37093353271484,117.23231506347656,117.35181427001953,65.37834167480469,9296220
2000-04-07,118.06883239746094,120.1601333618164,116.15679168701172,117.7103271484375,65.57814025878906,5627794
2000-04-10,119.26386260986328,119.86137390136719,116.21653747558594,116.75430297851562,65.04547882080078,5760636
2000-04-11,116.27629089355469,116.27629089355469,112.63145446777344,114.12523651123047,63.58080291748047,8094680
2000-04-12,114.36424255371094,114.36424255371094,106.77581024169922,108.74761199951172,60.58484649658203,9293919
2000-04-13,107.55258178710938,109.28536987304688,105.16252136230469,105.76004028320312,58.92043685913086,8615274
